Model,Fold,MSE,RMSE,MAE,R2
CSF-FPE,fold 1,1.7585 ,1.3261 ,1.0612 ,0.3837 
,fold 2,2.0883 ,1.4451 ,1.0829 ,0.3480 
,fold 3,2.2037 ,1.4845 ,1.1322 ,0.2543 
,fold 4,2.0814 ,1.4427 ,1.1096 ,0.2928 
,fold 5,1.9144 ,1.3836 ,1.0690 ,0.2981 
TabPFN,fold 1,1.9866 ,1.4095 ,0.9954 ,0.4615 
,fold 2,1.9092 ,1.3817 ,0.9866 ,0.4298 
,fold 3,1.7549 ,1.3247 ,0.9468 ,0.3763 
,fold 4,2.2693 ,1.5064 ,1.0421 ,0.3759 
,fold 5,1.8925 ,1.3757 ,0.9410 ,0.4477 
Transformer,fold 1,2.5462 ,1.5957 ,1.1906 ,0.3098 
,fold 2,2.4506 ,1.5655 ,1.1830 ,0.2681 
,fold 3,2.1739 ,1.4744 ,1.0457 ,0.2274 
,fold 4,3.7767 ,1.9434 ,1.5379 ,-0.0386 
,fold 5,3.2359 ,1.7989 ,1.3874 ,0.0557 
ResMLP,fold 1,2.4714 ,1.5721 ,1.1305 ,0.3300 
,fold 2,2.7741 ,1.6656 ,1.2617 ,0.1715 
,fold 3,2.2112 ,1.4870 ,1.1429 ,0.2141 
,fold 4,2.8059 ,1.6751 ,1.1766 ,0.2283 
,fold 5,2.7451 ,1.6568 ,1.1854 ,0.1989 
XGBoost,fold 1,2.2938 ,1.5155 ,1.0927 ,0.3072 
,fold 2,2.8704 ,1.6942 ,1.2681 ,0.2463 
,fold 3,2.4921 ,1.5786 ,1.2076 ,0.2250 
,fold 4,2.3314 ,1.5269 ,1.0995 ,0.2610 
,fold 5,2.3389 ,1.5294 ,1.1413 ,0.3033 
Random Forest,fold 1,2.1871 ,1.4789 ,1.0341 ,0.3394 
,fold 2,2.7190 ,1.6489 ,1.2121 ,0.2861 
,fold 3,2.2978 ,1.5159 ,1.1001 ,0.2854 
,fold 4,2.1538 ,1.4676 ,1.0562 ,0.3173 
,fold 5,2.1843 ,1.4779 ,1.0578 ,0.3494 
